site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,65-74,Male,Black,Not Hispanic or Latino,309,36,
UCMC,all_icu_adult,2018,65-74,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Hispanic or Latino,18,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,65-74,Male,Other/Unknown,Unknown,19,<10,
UCMC,all_icu_adult,2018,65-74,Male,White,Hispanic or Latino,13,<10,
UCMC,all_icu_adult,2018,65-74,Male,White,Not Hispanic or Latino,317,33,
UCMC,all_icu_adult,2018,65-74,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Black,Not Hispanic or Latino,357,60,
UCMC,all_icu_adult,2018,75+,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Female,Other/Unknown,Unknown,19,<10,
UCMC,all_icu_adult,2018,75+,Female,White,Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2018,75+,Female,White,Not Hispanic or Latino,132,19,
UCMC,all_icu_adult,2018,75+,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Asian,Not Hispanic or Latino,14,<10,
UCMC,all_icu_adult,2018,75+,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Black,Not Hispanic or Latino,210,27,
UCMC,all_icu_adult,2018,75+,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,Other/Unknown,Unknown,18,<10,
UCMC,all_icu_adult,2018,75+,Male,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2018,75+,Male,White,Not Hispanic or Latino,195,27,
UCMC,all_icu_adult,2019,18-39,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,18-39,Female,Asian,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2019,18-39,Female,Black,Not Hispanic or Latino,291,19,
UCMC,all_icu_adult,2019,18-39,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,18-39,Female,Other/Unknown,Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,18-39,Female,Other/Unknown,Not Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2019,18-39,Female,White,Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2019,18-39,Female,White,Not Hispanic or Latino,75,<10,
UCMC,all_icu_adult,2019,18-39,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2019,18-39,Male,Asian,Not Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,18-39,Male,Black,Not Hispanic or Latino,377,20,
UCMC,all_icu_adult,2019,18-39,Male,Black,Unknown,<10,<10,
