site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,17031,2018,75+,Male,84,30,
UCMC,sepsis_ase_icu,17031,2019,18-39,Female,59,12,
UCMC,sepsis_ase_icu,17031,2019,18-39,Male,90,13,
UCMC,sepsis_ase_icu,17031,2019,40-64,Female,208,67,
UCMC,sepsis_ase_icu,17031,2019,40-64,Male,279,71,
UCMC,sepsis_ase_icu,17031,2019,65-74,Female,145,44,
UCMC,sepsis_ase_icu,17031,2019,65-74,Male,157,45,
UCMC,sepsis_ase_icu,17031,2019,75+,Female,122,43,
UCMC,sepsis_ase_icu,17031,2019,75+,Male,97,35,
UCMC,sepsis_ase_icu,17031,2020,18-39,Female,72,16,
UCMC,sepsis_ase_icu,17031,2020,18-39,Male,131,27,
UCMC,sepsis_ase_icu,17031,2020,40-64,Female,230,79,
UCMC,sepsis_ase_icu,17031,2020,40-64,Male,315,95,
UCMC,sepsis_ase_icu,17031,2020,65-74,Female,142,62,
UCMC,sepsis_ase_icu,17031,2020,65-74,Male,186,71,
UCMC,sepsis_ase_icu,17031,2020,75+,Female,149,47,
UCMC,sepsis_ase_icu,17031,2020,75+,Male,120,52,
UCMC,sepsis_ase_icu,17031,2021,18-39,Female,59,12,
UCMC,sepsis_ase_icu,17031,2021,18-39,Male,143,28,
UCMC,sepsis_ase_icu,17031,2021,40-64,Female,240,80,
UCMC,sepsis_ase_icu,17031,2021,40-64,Male,299,112,
UCMC,sepsis_ase_icu,17031,2021,65-74,Female,152,60,
UCMC,sepsis_ase_icu,17031,2021,65-74,Male,184,55,
UCMC,sepsis_ase_icu,17031,2021,75+,Female,153,73,
UCMC,sepsis_ase_icu,17031,2021,75+,Male,111,41,
UCMC,sepsis_ase_icu,17031,2022,18-39,Female,67,16,
UCMC,sepsis_ase_icu,17031,2022,18-39,Male,93,22,
UCMC,sepsis_ase_icu,17031,2022,40-64,Female,232,70,
UCMC,sepsis_ase_icu,17031,2022,40-64,Male,321,106,
