site_name,population_id,county_fips,admit_year,hospitalizations,deaths,mortality_pct,missing_county_hospitalizations
UCMC,all_icu_adult,01003,2019,<10,<10,,40
UCMC,all_icu_adult,01003,2021,<10,<10,,62
UCMC,all_icu_adult,01059,2019,<10,<10,,40
UCMC,all_icu_adult,01059,2020,<10,<10,,45
UCMC,all_icu_adult,01073,2019,<10,<10,,40
UCMC,all_icu_adult,01073,2023,<10,<10,,63
UCMC,all_icu_adult,01077,2018,<10,<10,,46
UCMC,all_icu_adult,01081,2021,<10,<10,,62
UCMC,all_icu_adult,01083,2023,<10,<10,,63
UCMC,all_icu_adult,01089,2020,<10,<10,,45
UCMC,all_icu_adult,01089,2021,<10,<10,,62
UCMC,all_icu_adult,01089,2022,<10,<10,,64
UCMC,all_icu_adult,01097,2019,<10,<10,,40
UCMC,all_icu_adult,01097,2020,<10,<10,,45
UCMC,all_icu_adult,01117,2022,<10,<10,,64
UCMC,all_icu_adult,01123,2024,<10,<10,,85
UCMC,all_icu_adult,02020,2019,<10,<10,,40
UCMC,all_icu_adult,02020,2021,<10,<10,,62
UCMC,all_icu_adult,02020,2022,<10,<10,,64
UCMC,all_icu_adult,02020,2024,<10,<10,,85
UCMC,all_icu_adult,02122,2024,<10,<10,,85
UCMC,all_icu_adult,02170,2022,<10,<10,,64
UCMC,all_icu_adult,02170,2023,<10,<10,,63
UCMC,all_icu_adult,02170,2024,<10,<10,,85
UCMC,all_icu_adult,04003,2023,<10,<10,,63
UCMC,all_icu_adult,04013,2018,<10,<10,,46
UCMC,all_icu_adult,04013,2019,<10,<10,,40
UCMC,all_icu_adult,04013,2020,<10,<10,,45
UCMC,all_icu_adult,04013,2021,<10,<10,,62
UCMC,all_icu_adult,04013,2022,<10,<10,,64
UCMC,all_icu_adult,04013,2023,<10,<10,,63
UCMC,all_icu_adult,04013,2024,<10,<10,,85
UCMC,all_icu_adult,04015,2021,<10,<10,,62
UCMC,all_icu_adult,04019,2020,<10,<10,,45
UCMC,all_icu_adult,04021,2018,<10,<10,,46
UCMC,all_icu_adult,04021,2021,<10,<10,,62
UCMC,all_icu_adult,05003,2019,<10,<10,,40
UCMC,all_icu_adult,05005,2023,<10,<10,,63
UCMC,all_icu_adult,05005,2024,<10,<10,,85
UCMC,all_icu_adult,05023,2018,<10,<10,,46
UCMC,all_icu_adult,05041,2023,<10,<10,,63
UCMC,all_icu_adult,05045,2024,<10,<10,,85
UCMC,all_icu_adult,05067,2018,<10,<10,,46
UCMC,all_icu_adult,05109,2023,<10,<10,,63
UCMC,all_icu_adult,05119,2024,<10,<10,,85
UCMC,all_icu_adult,05123,2018,<10,<10,,46
UCMC,all_icu_adult,05123,2019,<10,<10,,40
UCMC,all_icu_adult,05125,2019,<10,<10,,40
UCMC,all_icu_adult,05131,2023,<10,<10,,63
UCMC,all_icu_adult,05143,2019,<10,<10,,40
UCMC,all_icu_adult,06001,2020,<10,<10,,45
UCMC,all_icu_adult,06001,2021,<10,<10,,62
UCMC,all_icu_adult,06001,2022,<10,<10,,64
UCMC,all_icu_adult,06001,2023,<10,<10,,63
UCMC,all_icu_adult,06001,2024,<10,<10,,85
UCMC,all_icu_adult,06013,2021,<10,<10,,62
UCMC,all_icu_adult,06013,2024,<10,<10,,85
UCMC,all_icu_adult,06019,2022,<10,<10,,64
UCMC,all_icu_adult,06025,2023,<10,<10,,63
UCMC,all_icu_adult,06037,2018,<10,<10,,46
UCMC,all_icu_adult,06037,2020,<10,<10,,45
UCMC,all_icu_adult,06037,2021,<10,<10,,62
UCMC,all_icu_adult,06037,2022,<10,<10,,64
UCMC,all_icu_adult,06037,2023,<10,<10,,63
UCMC,all_icu_adult,06037,2024,<10,<10,,85
UCMC,all_icu_adult,06041,2023,<10,<10,,63
UCMC,all_icu_adult,06047,2019,<10,<10,,40
UCMC,all_icu_adult,06059,2018,<10,<10,,46
UCMC,all_icu_adult,06059,2022,<10,<10,,64
UCMC,all_icu_adult,06059,2024,<10,<10,,85
UCMC,all_icu_adult,06065,2019,<10,<10,,40
UCMC,all_icu_adult,06065,2022,<10,<10,,64
UCMC,all_icu_adult,06067,2018,<10,<10,,46
UCMC,all_icu_adult,06067,2021,<10,<10,,62
UCMC,all_icu_adult,06067,2024,<10,<10,,85
UCMC,all_icu_adult,06071,2018,<10,<10,,46
UCMC,all_icu_adult,06073,2021,<10,<10,,62
UCMC,all_icu_adult,06073,2022,<10,<10,,64
UCMC,all_icu_adult,06075,2019,<10,<10,,40
UCMC,all_icu_adult,06079,2020,<10,<10,,45
UCMC,all_icu_adult,06081,2020,<10,<10,,45
UCMC,all_icu_adult,06081,2021,<10,<10,,62
UCMC,all_icu_adult,06083,2020,<10,<10,,45
UCMC,all_icu_adult,06089,2018,<10,<10,,46
UCMC,all_icu_adult,06089,2023,<10,<10,,63
UCMC,all_icu_adult,06089,2024,<10,<10,,85
UCMC,all_icu_adult,06097,2021,<10,<10,,62
UCMC,all_icu_adult,06107,2022,<10,<10,,64
UCMC,all_icu_adult,08013,2018,<10,<10,,46
UCMC,all_icu_adult,08031,2018,<10,<10,,46
UCMC,all_icu_adult,08031,2019,<10,<10,,40
UCMC,all_icu_adult,08031,2021,<10,<10,,62
UCMC,all_icu_adult,08031,2023,<10,<10,,63
UCMC,all_icu_adult,08041,2024,<10,<10,,85
UCMC,all_icu_adult,08059,2023,<10,<10,,63
UCMC,all_icu_adult,08059,2024,<10,<10,,85
UCMC,all_icu_adult,08069,2019,<10,<10,,40
UCMC,all_icu_adult,08069,2021,<10,<10,,62
UCMC,all_icu_adult,08077,2018,<10,<10,,46
UCMC,all_icu_adult,08093,2020,<10,<10,,45
UCMC,all_icu_adult,08123,2022,<10,<10,,64
UCMC,all_icu_adult,09110,2019,<10,<10,,40
UCMC,all_icu_adult,10003,2018,<10,<10,,46
UCMC,all_icu_adult,10003,2022,<10,<10,,64
UCMC,all_icu_adult,11001,2018,<10,<10,,46
UCMC,all_icu_adult,11001,2019,<10,<10,,40
UCMC,all_icu_adult,11001,2020,<10,<10,,45
UCMC,all_icu_adult,11001,2021,<10,<10,,62
UCMC,all_icu_adult,11001,2022,<10,<10,,64
UCMC,all_icu_adult,12001,2022,<10,<10,,64
UCMC,all_icu_adult,12001,2023,<10,<10,,63
UCMC,all_icu_adult,12005,2018,<10,<10,,46
UCMC,all_icu_adult,12005,2020,<10,<10,,45
UCMC,all_icu_adult,12009,2021,<10,<10,,62
UCMC,all_icu_adult,12009,2023,<10,<10,,63
UCMC,all_icu_adult,12009,2024,<10,<10,,85
UCMC,all_icu_adult,12011,2021,<10,<10,,62
UCMC,all_icu_adult,12011,2024,<10,<10,,85
UCMC,all_icu_adult,12015,2021,<10,<10,,62
UCMC,all_icu_adult,12015,2022,<10,<10,,64
UCMC,all_icu_adult,12021,2018,<10,<10,,46
UCMC,all_icu_adult,12021,2022,<10,<10,,64
UCMC,all_icu_adult,12021,2023,<10,<10,,63
