site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,01059,2019,40-64,Female,2,0,0.0
UCMC,sepsis_ase_icu,01081,2021,18-39,Male,4,0,0.0
UCMC,sepsis_ase_icu,01089,2020,18-39,Female,4,0,0.0
UCMC,sepsis_ase_icu,02020,2022,40-64,Male,0,0,
UCMC,sepsis_ase_icu,02170,2022,65-74,Female,0,0,
UCMC,sepsis_ase_icu,02170,2024,40-64,Male,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,04013,2018,40-64,Female,4,1,0.25
UCMC,sepsis_ase_icu,04013,2018,40-64,Male,0,1,
UCMC,sepsis_ase_icu,04013,2020,40-64,Female,0,3,
UCMC,sepsis_ase_icu,04013,2022,18-39,Female,2,0,0.0
UCMC,sepsis_ase_icu,04013,2023,75+,Female,2,0,0.0
UCMC,sepsis_ase_icu,04013,2024,40-64,Female,1,0,0.0
UCMC,sepsis_ase_icu,04013,2024,40-64,Male,1,0,0.0
UCMC,sepsis_ase_icu,05041,2023,40-64,Female,1,4,4.0
UCMC,sepsis_ase_icu,05119,2024,40-64,Female,0,2,
UCMC,sepsis_ase_icu,06019,2022,65-74,Male,0,2,
UCMC,sepsis_ase_icu,06037,2018,40-64,Male,3,0,0.0
UCMC,sepsis_ase_icu,06037,2020,40-64,Male,0,3,
UCMC,sepsis_ase_icu,06037,2021,65-74,Male,0,2,
UCMC,sepsis_ase_icu,06037,2022,40-64,Male,2,0,0.0
UCMC,sepsis_ase_icu,06037,2023,18-39,Male,0,2,
UCMC,sepsis_ase_icu,06037,2024,65-74,Female,0,0,
UCMC,sepsis_ase_icu,06059,2022,40-64,Female,0,0,
UCMC,sepsis_ase_icu,06065,2022,75+,Male,2,4,2.0
UCMC,sepsis_ase_icu,06067,2024,40-64,Male,2,2,1.0
UCMC,sepsis_ase_icu,06075,2019,75+,Male,0,0,
UCMC,sepsis_ase_icu,06081,2020,18-39,Female,4,3,0.75
UCMC,sepsis_ase_icu,08031,2019,40-64,Female,5,1,0.2
UCMC,sepsis_ase_icu,08031,2021,18-39,Male,2,3,1.5
UCMC,sepsis_ase_icu,08059,2023,65-74,Male,3,0,0.0
UCMC,sepsis_ase_icu,08069,2021,65-74,Female,0,0,
UCMC,sepsis_ase_icu,11001,2018,18-39,Male,1,3,3.0
UCMC,sepsis_ase_icu,11001,2018,40-64,Female,1,0,0.0
UCMC,sepsis_ase_icu,11001,2019,40-64,Male,4,1,0.25
UCMC,sepsis_ase_icu,12009,2021,40-64,Male,0,0,
UCMC,sepsis_ase_icu,12021,2022,75+,Male,0,1,
UCMC,sepsis_ase_icu,12031,2021,40-64,Male,0,1,
UCMC,sepsis_ase_icu,12035,2019,40-64,Female,0,0,
UCMC,sepsis_ase_icu,12057,2019,18-39,Female,0,0,
UCMC,sepsis_ase_icu,12057,2023,65-74,Male,0,2,
UCMC,sepsis_ase_icu,12073,2022,65-74,Female,0,1,
UCMC,sepsis_ase_icu,12081,2022,65-74,Male,2,3,1.5
UCMC,sepsis_ase_icu,12083,2019,40-64,Male,4,0,0.0
UCMC,sepsis_ase_icu,12086,2022,40-64,Male,2,0,0.0
UCMC,sepsis_ase_icu,12086,2024,18-39,Male,1,0,0.0
UCMC,sepsis_ase_icu,12097,2022,18-39,Female,2,2,1.0
UCMC,sepsis_ase_icu,12099,2021,40-64,Male,4,1,0.25
UCMC,sepsis_ase_icu,12099,2024,65-74,Female,3,0,0.0
UCMC,sepsis_ase_icu,12119,2022,65-74,Male,1,2,2.0
UCMC,sepsis_ase_icu,12127,2019,40-64,Male,2,0,0.0
UCMC,sepsis_ase_icu,13113,2022,75+,Male,0,0,
UCMC,sepsis_ase_icu,13121,2023,75+,Female,4,1,0.25
UCMC,sepsis_ase_icu,13135,2020,18-39,Female,0,3,
UCMC,sepsis_ase_icu,15003,2021,40-64,Female,1,3,3.0
UCMC,sepsis_ase_icu,17001,2018,40-64,Female,0,2,
UCMC,sepsis_ase_icu,17001,2019,40-64,Female,1,1,1.0
UCMC,sepsis_ase_icu,17007,2019,40-64,Male,3,2,0.6666666666666666
UCMC,sepsis_ase_icu,17007,2022,65-74,Female,3,0,0.0
UCMC,sepsis_ase_icu,17007,2022,75+,Male,0,0,
UCMC,sepsis_ase_icu,17011,2019,40-64,Female,0,0,
UCMC,sepsis_ase_icu,17011,2020,18-39,Female,4,2,0.5
UCMC,sepsis_ase_icu,17011,2021,40-64,Male,1,0,0.0
UCMC,sepsis_ase_icu,17011,2024,40-64,Female,0,0,
UCMC,sepsis_ase_icu,17015,2018,65-74,Male,3,0,0.0
UCMC,sepsis_ase_icu,17017,2022,40-64,Male,0,0,
UCMC,sepsis_ase_icu,17019,2019,18-39,Female,1,2,2.0
UCMC,sepsis_ase_icu,17019,2019,18-39,Male,2,0,0.0
UCMC,sepsis_ase_icu,17019,2019,40-64,Female,0,0,
UCMC,sepsis_ase_icu,17019,2019,40-64,Male,0,0,
UCMC,sepsis_ase_icu,17019,2019,65-74,Male,1,0,0.0
UCMC,sepsis_ase_icu,17019,2020,65-74,Female,0,3,
UCMC,sepsis_ase_icu,17019,2021,40-64,Female,4,0,0.0
UCMC,sepsis_ase_icu,17019,2022,18-39,Male,0,0,
UCMC,sepsis_ase_icu,17019,2022,40-64,Male,2,4,2.0
UCMC,sepsis_ase_icu,17019,2023,18-39,Male,4,0,0.0
UCMC,sepsis_ase_icu,17019,2023,40-64,Female,1,0,0.0
UCMC,sepsis_ase_icu,17019,2023,40-64,Male,0,2,
UCMC,sepsis_ase_icu,17019,2024,40-64,Female,4,0,0.0
UCMC,sepsis_ase_icu,17019,2024,40-64,Male,0,2,
UCMC,sepsis_ase_icu,17023,2022,18-39,Male,4,0,0.0
UCMC,sepsis_ase_icu,17029,2022,40-64,Male,0,0,
UCMC,sepsis_ase_icu,17031,2018,18-39,Female,42,12,0.2857142857142857
UCMC,sepsis_ase_icu,17031,2018,18-39,Male,69,16,0.2318840579710145
UCMC,sepsis_ase_icu,17031,2018,40-64,Female,186,52,0.27956989247311825
UCMC,sepsis_ase_icu,17031,2018,40-64,Male,210,63,0.3
UCMC,sepsis_ase_icu,17031,2018,65-74,Female,108,31,0.28703703703703703
UCMC,sepsis_ase_icu,17031,2018,65-74,Male,120,36,0.3
UCMC,sepsis_ase_icu,17031,2018,75+,Female,126,48,0.38095238095238093
UCMC,sepsis_ase_icu,17031,2018,75+,Male,81,29,0.35802469135802467
UCMC,sepsis_ase_icu,17031,2019,18-39,Female,60,15,0.25
UCMC,sepsis_ase_icu,17031,2019,18-39,Male,90,10,0.1111111111111111
UCMC,sepsis_ase_icu,17031,2019,40-64,Female,206,64,0.3106796116504854
UCMC,sepsis_ase_icu,17031,2019,40-64,Male,281,71,0.2526690391459075
UCMC,sepsis_ase_icu,17031,2019,65-74,Female,145,47,0.32413793103448274
UCMC,sepsis_ase_icu,17031,2019,65-74,Male,158,47,0.2974683544303797
UCMC,sepsis_ase_icu,17031,2019,75+,Female,119,43,0.36134453781512604
UCMC,sepsis_ase_icu,17031,2019,75+,Male,99,33,0.3333333333333333
UCMC,sepsis_ase_icu,17031,2020,18-39,Female,69,15,0.21739130434782608
UCMC,sepsis_ase_icu,17031,2020,18-39,Male,132,25,0.1893939393939394
UCMC,sepsis_ase_icu,17031,2020,40-64,Female,232,82,0.35344827586206895
UCMC,sepsis_ase_icu,17031,2020,40-64,Male,315,94,0.2984126984126984
UCMC,sepsis_ase_icu,17031,2020,65-74,Female,140,63,0.45
UCMC,sepsis_ase_icu,17031,2020,65-74,Male,188,71,0.3776595744680851
UCMC,sepsis_ase_icu,17031,2020,75+,Female,151,50,0.33112582781456956
UCMC,sepsis_ase_icu,17031,2020,75+,Male,117,55,0.4700854700854701
UCMC,sepsis_ase_icu,17031,2021,18-39,Female,62,15,0.24193548387096775
UCMC,sepsis_ase_icu,17031,2021,18-39,Male,146,25,0.17123287671232876
UCMC,sepsis_ase_icu,17031,2021,40-64,Female,240,82,0.3416666666666667
UCMC,sepsis_ase_icu,17031,2021,40-64,Male,298,109,0.36577181208053694
UCMC,sepsis_ase_icu,17031,2021,65-74,Female,153,60,0.39215686274509803
UCMC,sepsis_ase_icu,17031,2021,65-74,Male,187,53,0.28342245989304815
UCMC,sepsis_ase_icu,17031,2021,75+,Female,150,75,0.5
UCMC,sepsis_ase_icu,17031,2021,75+,Male,108,40,0.37037037037037035
UCMC,sepsis_ase_icu,17031,2022,18-39,Female,64,17,0.265625
UCMC,sepsis_ase_icu,17031,2022,18-39,Male,96,19,0.19791666666666666
UCMC,sepsis_ase_icu,17031,2022,40-64,Female,234,71,0.3034188034188034
UCMC,sepsis_ase_icu,17031,2022,40-64,Male,321,109,0.3395638629283489
UCMC,sepsis_ase_icu,17031,2022,65-74,Female,154,56,0.36363636363636365
UCMC,sepsis_ase_icu,17031,2022,65-74,Male,164,67,0.40853658536585363
UCMC,sepsis_ase_icu,17031,2022,75+,Female,138,62,0.4492753623188406
UCMC,sepsis_ase_icu,17031,2022,75+,Male,111,61,0.5495495495495496
UCMC,sepsis_ase_icu,17031,2023,18-39,Female,68,10,0.14705882352941177
UCMC,sepsis_ase_icu,17031,2023,18-39,Male,115,25,0.21739130434782608
UCMC,sepsis_ase_icu,17031,2023,40-64,Female,216,74,0.3425925925925926
UCMC,sepsis_ase_icu,17031,2023,40-64,Male,279,86,0.30824372759856633
UCMC,sepsis_ase_icu,17031,2023,65-74,Female,149,59,0.3959731543624161
UCMC,sepsis_ase_icu,17031,2023,65-74,Male,165,62,0.37575757575757573
UCMC,sepsis_ase_icu,17031,2023,75+,Female,150,69,0.46
