site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Black,Not Hispanic or Latino,8,3,0.375
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Other/Unknown,Unknown,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,White,Not Hispanic or Latino,4,2,0.5
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Hispanic or Latino,4,1,0.25
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Not Hispanic or Latino,9,8,0.8888888888888888
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Black,Not Hispanic or Latino,21,18,0.8571428571428571
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Other/Unknown,Unknown,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Black,Not Hispanic or Latino,25,18,0.72
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Unknown,1,4,4.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Not Hispanic or Latino,0,2,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Unknown,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,Black,Not Hispanic or Latino,8,6,0.75
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,White,Not Hispanic or Latino,5,3,0.6
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Black,Not Hispanic or Latino,15,11,0.7333333333333333
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Other/Unknown,Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Not Hispanic or Latino,18,14,0.7777777777777778
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Other/Unknown,Unknown,2,3,1.5
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,White,Not Hispanic or Latino,0,1,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Not Hispanic or Latino,9,9,1.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Unknown,2,1,0.5
