site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,18-39,Female,AIAN,Hispanic or Latino,1,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Asian,Not Hispanic or Latino,10,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Black,Hispanic or Latino,5,2,0.4
UCMC,all_icu_adult,2018,18-39,Female,Black,Not Hispanic or Latino,266,11,0.041353383458646614
UCMC,all_icu_adult,2018,18-39,Female,Black,Unknown,3,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,NHPI,Hispanic or Latino,3,2,0.6666666666666666
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Hispanic or Latino,9,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Not Hispanic or Latino,6,1,0.16666666666666666
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Unknown,4,1,0.25
UCMC,all_icu_adult,2018,18-39,Female,White,Hispanic or Latino,18,4,0.2222222222222222
UCMC,all_icu_adult,2018,18-39,Female,White,Not Hispanic or Latino,106,7,0.0660377358490566
UCMC,all_icu_adult,2018,18-39,Male,AIAN,Hispanic or Latino,0,1,
UCMC,all_icu_adult,2018,18-39,Male,Asian,Not Hispanic or Latino,13,1,0.07692307692307693
UCMC,all_icu_adult,2018,18-39,Male,Black,Hispanic or Latino,0,1,
UCMC,all_icu_adult,2018,18-39,Male,Black,Not Hispanic or Latino,345,20,0.057971014492753624
UCMC,all_icu_adult,2018,18-39,Male,Black,Unknown,4,3,0.75
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Hispanic or Latino,32,2,0.0625
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,13,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Unknown,6,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,White,Hispanic or Latino,18,3,0.16666666666666666
UCMC,all_icu_adult,2018,18-39,Male,White,Not Hispanic or Latino,90,6,0.06666666666666667
UCMC,all_icu_adult,2018,18-39,Male,White,Unknown,0,4,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Hispanic or Latino,0,0,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Not Hispanic or Latino,3,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Asian,Hispanic or Latino,0,1,
UCMC,all_icu_adult,2018,40-64,Female,Asian,Not Hispanic or Latino,11,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Black,Hispanic or Latino,0,3,
UCMC,all_icu_adult,2018,40-64,Female,Black,Not Hispanic or Latino,735,63,0.08571428571428572
UCMC,all_icu_adult,2018,40-64,Female,Black,Unknown,2,4,2.0
UCMC,all_icu_adult,2018,40-64,Female,NHPI,Hispanic or Latino,4,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Hispanic or Latino,20,4,0.2
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,18,4,0.2222222222222222
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Unknown,13,6,0.46153846153846156
UCMC,all_icu_adult,2018,40-64,Female,White,Hispanic or Latino,23,4,0.17391304347826086
UCMC,all_icu_adult,2018,40-64,Female,White,Not Hispanic or Latino,227,16,0.07048458149779736
UCMC,all_icu_adult,2018,40-64,Female,White,Unknown,4,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Hispanic or Latino,5,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Not Hispanic or Latino,1,3,3.0
UCMC,all_icu_adult,2018,40-64,Male,Asian,Not Hispanic or Latino,28,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,Black,Not Hispanic or Latino,770,79,0.1025974025974026
UCMC,all_icu_adult,2018,40-64,Male,Black,Unknown,7,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Hispanic or Latino,3,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Not Hispanic or Latino,0,1,
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Hispanic or Latino,29,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,37,2,0.05405405405405406
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Unknown,32,19,0.59375
UCMC,all_icu_adult,2018,40-64,Male,White,Hispanic or Latino,25,3,0.12
UCMC,all_icu_adult,2018,40-64,Male,White,Not Hispanic or Latino,419,43,0.1026252983293556
UCMC,all_icu_adult,2018,40-64,Male,White,Unknown,6,0,0.0
UCMC,all_icu_adult,2018,65-74,Female,Asian,Not Hispanic or Latino,12,0,0.0
UCMC,all_icu_adult,2018,65-74,Female,Black,Not Hispanic or Latino,339,43,0.12684365781710916
UCMC,all_icu_adult,2018,65-74,Female,Black,Unknown,5,3,0.6
UCMC,all_icu_adult,2018,65-74,Female,NHPI,Hispanic or Latino,3,0,0.0
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Hispanic or Latino,6,0,0.0
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,12,4,0.3333333333333333
UCMC,all_icu_adult,2018,65-74,Female,Other/Unknown,Unknown,7,3,0.42857142857142855
UCMC,all_icu_adult,2018,65-74,Female,White,Hispanic or Latino,3,3,1.0
UCMC,all_icu_adult,2018,65-74,Female,White,Not Hispanic or Latino,181,16,0.08839779005524862
