site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Black,Not Hispanic or Latino,3,3,1.0
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,Other/Unknown,Unknown,3,1,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,White,Not Hispanic or Latino,6,2,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Hispanic or Latino,0,1,
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,Black,Not Hispanic or Latino,8,5,0.625
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Black,Not Hispanic or Latino,22,17,0.7727272727272727
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,Other/Unknown,Unknown,7,2,0.2857142857142857
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,White,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Black,Not Hispanic or Latino,27,18,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,2,4,2.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,Other/Unknown,Unknown,6,2,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Not Hispanic or Latino,6,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,White,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,Black,Not Hispanic or Latino,11,6,0.5454545454545454
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,White,Not Hispanic or Latino,0,4,
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Black,Not Hispanic or Latino,14,10,0.7142857142857143
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Not Hispanic or Latino,16,13,0.8125
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Black,Unknown,3,2,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,Other/Unknown,Unknown,0,3,
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,White,Not Hispanic or Latino,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Not Hispanic or Latino,5,6,1.2
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,Black,Unknown,4,4,1.0
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,White,Not Hispanic or Latino,0,5,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Black,Not Hispanic or Latino,7,1,0.14285714285714285
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Black,Unknown,0,4,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,Other/Unknown,Unknown,2,1,0.5
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Black,Not Hispanic or Latino,12,6,0.5
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,NHPI,Hispanic or Latino,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,Other/Unknown,Unknown,2,1,0.5
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,White,Hispanic or Latino,2,3,1.5
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Black,Not Hispanic or Latino,29,21,0.7241379310344828
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Black,Unknown,0,2,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Other/Unknown,Hispanic or Latino,3,4,1.3333333333333333
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,Other/Unknown,Unknown,3,6,2.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,White,Not Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Asian,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Black,Not Hispanic or Latino,40,16,0.4
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Not Hispanic or Latino,3,1,0.3333333333333333
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,Other/Unknown,Unknown,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Black,Not Hispanic or Latino,8,11,1.375
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Other/Unknown,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,Other/Unknown,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,White,Not Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,Black,Not Hispanic or Latino,21,13,0.6190476190476191
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,Other/Unknown,Unknown,0,0,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,White,Not Hispanic or Latino,7,4,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,Black,Not Hispanic or Latino,16,9,0.5625
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Black,Not Hispanic or Latino,5,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,Other/Unknown,Not Hispanic or Latino,3,0,0.0
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,White,Not Hispanic or Latino,2,2,1.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Black,Not Hispanic or Latino,10,8,0.8
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,Other/Unknown,Unknown,1,2,2.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,White,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Black,Not Hispanic or Latino,18,12,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,Other/Unknown,Unknown,2,6,3.0
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,White,Hispanic or Latino,1,5,5.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Black,Not Hispanic or Latino,31,16,0.5161290322580645
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Other/Unknown,Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,Other/Unknown,Not Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Black,Not Hispanic or Latino,55,37,0.6727272727272727
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Hispanic or Latino,6,0,0.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Not Hispanic or Latino,3,8,2.6666666666666665
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,Other/Unknown,Unknown,1,3,3.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,White,Hispanic or Latino,1,1,1.0
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,White,Not Hispanic or Latino,2,6,3.0
UCMC,cardiac_arrest_poa_icu,2020,65-74,Female,Black,Not Hispanic or Latino,15,11,0.7333333333333333
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Black,Not Hispanic or Latino,18,13,0.7222222222222222
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Black,Unknown,1,0,0.0
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,White,Hispanic or Latino,0,0,
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,White,Not Hispanic or Latino,2,1,0.5
UCMC,cardiac_arrest_poa_icu,2020,75+,Female,Black,Not Hispanic or Latino,15,7,0.4666666666666667
UCMC,cardiac_arrest_poa_icu,2020,75+,Female,Other/Unknown,Hispanic or Latino,4,3,0.75
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,Black,Not Hispanic or Latino,6,3,0.5
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,Other/Unknown,Hispanic or Latino,1,1,1.0
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,White,Not Hispanic or Latino,0,3,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,Black,Not Hispanic or Latino,3,3,1.0
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,Other/Unknown,Hispanic or Latino,2,2,1.0
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,White,Not Hispanic or Latino,4,4,1.0
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Black,Not Hispanic or Latino,20,15,0.75
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Black,Unknown,0,1,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,Other/Unknown,Hispanic or Latino,0,2,
