site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2022,75+,Male,Black,Not Hispanic or Latino,93,55,0.5913978494623656
UCMC,sepsis_ase_icu,2022,75+,Male,Black,Unknown,0,4,
UCMC,sepsis_ase_icu,2022,75+,Male,NHPI,Not Hispanic or Latino,0,2,
UCMC,sepsis_ase_icu,2022,75+,Male,Other/Unknown,Hispanic or Latino,5,2,0.4
UCMC,sepsis_ase_icu,2022,75+,Male,Other/Unknown,Not Hispanic or Latino,6,6,1.0
UCMC,sepsis_ase_icu,2022,75+,Male,Other/Unknown,Unknown,7,5,0.7142857142857143
UCMC,sepsis_ase_icu,2022,75+,Male,White,Not Hispanic or Latino,41,15,0.36585365853658536
UCMC,sepsis_ase_icu,2023,18-39,Female,Asian,Not Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Female,Black,Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Female,Black,Not Hispanic or Latino,56,12,0.21428571428571427
UCMC,sepsis_ase_icu,2023,18-39,Female,Other/Unknown,Hispanic or Latino,3,2,0.6666666666666666
UCMC,sepsis_ase_icu,2023,18-39,Female,Other/Unknown,Not Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Female,Other/Unknown,Unknown,4,2,0.5
UCMC,sepsis_ase_icu,2023,18-39,Female,White,Hispanic or Latino,7,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Female,White,Not Hispanic or Latino,23,2,0.08695652173913043
UCMC,sepsis_ase_icu,2023,18-39,Female,White,Unknown,0,0,
UCMC,sepsis_ase_icu,2023,18-39,Male,Asian,Hispanic or Latino,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,2023,18-39,Male,Asian,Not Hispanic or Latino,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,2023,18-39,Male,Black,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Male,Black,Not Hispanic or Latino,82,19,0.23170731707317074
UCMC,sepsis_ase_icu,2023,18-39,Male,Black,Unknown,6,0,0.0
UCMC,sepsis_ase_icu,2023,18-39,Male,Other/Unknown,Hispanic or Latino,20,10,0.5
UCMC,sepsis_ase_icu,2023,18-39,Male,Other/Unknown,Not Hispanic or Latino,7,4,0.5714285714285714
UCMC,sepsis_ase_icu,2023,18-39,Male,Other/Unknown,Unknown,23,8,0.34782608695652173
UCMC,sepsis_ase_icu,2023,18-39,Male,White,Hispanic or Latino,7,3,0.42857142857142855
UCMC,sepsis_ase_icu,2023,18-39,Male,White,Not Hispanic or Latino,31,7,0.22580645161290322
UCMC,sepsis_ase_icu,2023,40-64,Female,AIAN,Not Hispanic or Latino,3,0,0.0
UCMC,sepsis_ase_icu,2023,40-64,Female,Asian,Not Hispanic or Latino,5,0,0.0
UCMC,sepsis_ase_icu,2023,40-64,Female,Black,Not Hispanic or Latino,177,60,0.3389830508474576
UCMC,sepsis_ase_icu,2023,40-64,Female,Black,Unknown,7,1,0.14285714285714285
UCMC,sepsis_ase_icu,2023,40-64,Female,Other/Unknown,Hispanic or Latino,13,6,0.46153846153846156
UCMC,sepsis_ase_icu,2023,40-64,Female,Other/Unknown,Not Hispanic or Latino,11,1,0.09090909090909091
UCMC,sepsis_ase_icu,2023,40-64,Female,Other/Unknown,Unknown,15,14,0.9333333333333333
UCMC,sepsis_ase_icu,2023,40-64,Female,White,Hispanic or Latino,5,3,0.6
UCMC,sepsis_ase_icu,2023,40-64,Female,White,Not Hispanic or Latino,52,17,0.3269230769230769
UCMC,sepsis_ase_icu,2023,40-64,Female,White,Unknown,2,0,0.0
UCMC,sepsis_ase_icu,2023,40-64,Male,Asian,Not Hispanic or Latino,6,3,0.5
UCMC,sepsis_ase_icu,2023,40-64,Male,Black,Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2023,40-64,Male,Black,Not Hispanic or Latino,214,58,0.27102803738317754
UCMC,sepsis_ase_icu,2023,40-64,Male,Black,Unknown,5,4,0.8
UCMC,sepsis_ase_icu,2023,40-64,Male,NHPI,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,40-64,Male,NHPI,Not Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2023,40-64,Male,Other/Unknown,Hispanic or Latino,18,4,0.2222222222222222
UCMC,sepsis_ase_icu,2023,40-64,Male,Other/Unknown,Not Hispanic or Latino,16,8,0.5
UCMC,sepsis_ase_icu,2023,40-64,Male,Other/Unknown,Unknown,34,14,0.4117647058823529
UCMC,sepsis_ase_icu,2023,40-64,Male,White,Hispanic or Latino,8,5,0.625
UCMC,sepsis_ase_icu,2023,40-64,Male,White,Not Hispanic or Latino,83,19,0.2289156626506024
UCMC,sepsis_ase_icu,2023,40-64,Male,White,Unknown,8,5,0.625
