site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,05041,2023,40-64,Female,2,0,0.0
UCMC,cardiac_arrest_poa_icu,12035,2019,40-64,Female,4,0,0.0
UCMC,cardiac_arrest_poa_icu,12086,2024,18-39,Male,4,0,0.0
UCMC,cardiac_arrest_poa_icu,13097,2020,18-39,Female,0,0,
UCMC,cardiac_arrest_poa_icu,13121,2023,75+,Female,0,0,
UCMC,cardiac_arrest_poa_icu,13135,2020,18-39,Female,3,2,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17007,2024,40-64,Male,4,1,0.25
UCMC,cardiac_arrest_poa_icu,17019,2019,40-64,Male,0,2,
UCMC,cardiac_arrest_poa_icu,17019,2024,40-64,Female,0,4,
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Female,4,0,0.0
UCMC,cardiac_arrest_poa_icu,17031,2018,18-39,Male,8,6,0.75
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Female,23,15,0.6521739130434783
UCMC,cardiac_arrest_poa_icu,17031,2018,40-64,Male,32,22,0.6875
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Female,9,8,0.8888888888888888
UCMC,cardiac_arrest_poa_icu,17031,2018,65-74,Male,17,14,0.8235294117647058
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Female,16,15,0.9375
UCMC,cardiac_arrest_poa_icu,17031,2018,75+,Male,12,6,0.5
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Female,4,7,1.75
UCMC,cardiac_arrest_poa_icu,17031,2019,18-39,Male,11,8,0.7272727272727273
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Female,32,24,0.75
UCMC,cardiac_arrest_poa_icu,17031,2019,40-64,Male,43,24,0.5581395348837209
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Female,12,8,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17031,2019,65-74,Male,17,11,0.6470588235294118
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Female,14,13,0.9285714285714286
UCMC,cardiac_arrest_poa_icu,17031,2019,75+,Male,10,6,0.6
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Female,9,6,0.6666666666666666
UCMC,cardiac_arrest_poa_icu,17031,2020,18-39,Male,24,19,0.7916666666666666
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Female,31,16,0.5161290322580645
UCMC,cardiac_arrest_poa_icu,17031,2020,40-64,Male,62,45,0.7258064516129032
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Female,17,12,0.7058823529411765
UCMC,cardiac_arrest_poa_icu,17031,2020,65-74,Male,17,10,0.5882352941176471
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Female,17,11,0.6470588235294118
UCMC,cardiac_arrest_poa_icu,17031,2020,75+,Male,10,5,0.5
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Female,9,7,0.7777777777777778
UCMC,cardiac_arrest_poa_icu,17031,2021,18-39,Male,17,11,0.6470588235294118
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Female,47,31,0.6595744680851063
UCMC,cardiac_arrest_poa_icu,17031,2021,40-64,Male,69,44,0.6376811594202898
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Female,18,13,0.7222222222222222
UCMC,cardiac_arrest_poa_icu,17031,2021,65-74,Male,28,16,0.5714285714285714
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Female,17,15,0.8823529411764706
UCMC,cardiac_arrest_poa_icu,17031,2021,75+,Male,6,7,1.1666666666666667
