site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,18-39,Female,AIAN,Hispanic or Latino,0,0,
UCMC,all_icu_adult,2018,18-39,Female,Asian,Not Hispanic or Latino,13,1,0.07692307692307693
UCMC,all_icu_adult,2018,18-39,Female,Black,Hispanic or Latino,7,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Black,Not Hispanic or Latino,263,14,0.053231939163498096
UCMC,all_icu_adult,2018,18-39,Female,Black,Unknown,5,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,NHPI,Hispanic or Latino,1,1,1.0
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Hispanic or Latino,10,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Not Hispanic or Latino,4,2,0.5
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Unknown,6,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,White,Hispanic or Latino,17,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,White,Not Hispanic or Latino,108,9,0.08333333333333333
UCMC,all_icu_adult,2018,18-39,Male,AIAN,Hispanic or Latino,3,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,Asian,Not Hispanic or Latino,14,1,0.07142857142857142
UCMC,all_icu_adult,2018,18-39,Male,Black,Hispanic or Latino,1,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,Black,Not Hispanic or Latino,348,23,0.06609195402298851
UCMC,all_icu_adult,2018,18-39,Male,Black,Unknown,0,3,
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Hispanic or Latino,27,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,7,1,0.14285714285714285
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Unknown,6,3,0.5
UCMC,all_icu_adult,2018,18-39,Male,White,Hispanic or Latino,22,2,0.09090909090909091
UCMC,all_icu_adult,2018,18-39,Male,White,Not Hispanic or Latino,86,8,0.09302325581395349
UCMC,all_icu_adult,2018,18-39,Male,White,Unknown,1,3,3.0
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Hispanic or Latino,0,0,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Not Hispanic or Latino,0,0,
UCMC,all_icu_adult,2018,40-64,Female,Asian,Hispanic or Latino,4,3,0.75
UCMC,all_icu_adult,2018,40-64,Female,Asian,Not Hispanic or Latino,11,3,0.2727272727272727
UCMC,all_icu_adult,2018,40-64,Female,Black,Hispanic or Latino,5,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Black,Not Hispanic or Latino,732,68,0.09289617486338798
UCMC,all_icu_adult,2018,40-64,Female,Black,Unknown,5,1,0.2
UCMC,all_icu_adult,2018,40-64,Female,NHPI,Hispanic or Latino,4,1,0.25
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Hispanic or Latino,17,2,0.11764705882352941
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,18,1,0.05555555555555555
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Unknown,16,5,0.3125
UCMC,all_icu_adult,2018,40-64,Female,White,Hispanic or Latino,23,4,0.17391304347826086
UCMC,all_icu_adult,2018,40-64,Female,White,Not Hispanic or Latino,229,20,0.08733624454148471
UCMC,all_icu_adult,2018,40-64,Female,White,Unknown,0,1,
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Hispanic or Latino,4,3,0.75
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Not Hispanic or Latino,0,2,
UCMC,all_icu_adult,2018,40-64,Male,Asian,Not Hispanic or Latino,30,1,0.03333333333333333
UCMC,all_icu_adult,2018,40-64,Male,Black,Not Hispanic or Latino,768,82,0.10677083333333333
UCMC,all_icu_adult,2018,40-64,Male,Black,Unknown,4,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Hispanic or Latino,4,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,NHPI,Not Hispanic or Latino,1,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Hispanic or Latino,29,0,0.0
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,34,1,0.029411764705882353
UCMC,all_icu_adult,2018,40-64,Male,Other/Unknown,Unknown,29,20,0.6896551724137931
UCMC,all_icu_adult,2018,40-64,Male,White,Hispanic or Latino,25,4,0.16
UCMC,all_icu_adult,2018,40-64,Male,White,Not Hispanic or Latino,416,42,0.10096153846153846
UCMC,all_icu_adult,2018,40-64,Male,White,Unknown,6,0,0.0
UCMC,all_icu_adult,2018,65-74,Female,Asian,Not Hispanic or Latino,11,0,0.0
