site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2018,18-39,Female,Asian,Not Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Not Hispanic or Latino,41,8,0.1951219512195122
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Unknown,2,2,1.0
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Unknown,3,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Hispanic or Latino,6,2,0.3333333333333333
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Not Hispanic or Latino,18,3,0.16666666666666666
UCMC,sepsis_ase_icu,2018,18-39,Male,Asian,Not Hispanic or Latino,5,3,0.6
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Not Hispanic or Latino,59,10,0.1694915254237288
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Unknown,2,3,1.5
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Hispanic or Latino,4,1,0.25
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,0,2,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Unknown,4,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Not Hispanic or Latino,23,3,0.13043478260869565
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Unknown,3,4,1.3333333333333333
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Hispanic or Latino,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Not Hispanic or Latino,6,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Not Hispanic or Latino,175,47,0.26857142857142857
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Unknown,4,1,0.25
UCMC,sepsis_ase_icu,2018,40-64,Female,NHPI,Hispanic or Latino,0,3,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Hispanic or Latino,2,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,8,2,0.25
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Unknown,3,3,1.0
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Not Hispanic or Latino,38,12,0.3157894736842105
UCMC,sepsis_ase_icu,2018,40-64,Male,Asian,Not Hispanic or Latino,8,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Not Hispanic or Latino,168,54,0.32142857142857145
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Unknown,5,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,NHPI,Not Hispanic or Latino,4,2,0.5
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,3,1,0.3333333333333333
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,7,3,0.42857142857142855
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Unknown,16,13,0.8125
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Hispanic or Latino,9,0,0.0
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Not Hispanic or Latino,109,32,0.29357798165137616
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Unknown,4,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Asian,Not Hispanic or Latino,1,3,3.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Not Hispanic or Latino,90,27,0.3
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Unknown,2,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Hispanic or Latino,5,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,6,0,0.0
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Unknown,0,3,
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Hispanic or Latino,3,0,0.0
