site_name,population_id,admit_year,age_band,sex_group,state_fips,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,18-39,Female,04,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,05,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,12,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,17,364,17,
UCMC,all_icu_adult,2018,18-39,Female,18,49,<10,
UCMC,all_icu_adult,2018,18-39,Female,26,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,27,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,29,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,31,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,36,<10,<10,
UCMC,all_icu_adult,2018,18-39,Female,55,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,06,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,11,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,17,446,33,
UCMC,all_icu_adult,2018,18-39,Male,18,46,<10,
UCMC,all_icu_adult,2018,18-39,Male,25,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,26,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,36,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,39,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,45,<10,<10,
UCMC,all_icu_adult,2018,18-39,Male,55,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,04,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,08,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,11,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,12,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,13,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,17,915,84,
UCMC,all_icu_adult,2018,40-64,Female,18,96,11,
UCMC,all_icu_adult,2018,40-64,Female,19,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,21,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,26,11,<10,
UCMC,all_icu_adult,2018,40-64,Female,27,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,29,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,39,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,45,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,47,<10,<10,
UCMC,all_icu_adult,2018,40-64,Female,55,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,04,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,06,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,08,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,12,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,13,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,17,1118,127,
UCMC,all_icu_adult,2018,40-64,Male,18,156,20,
UCMC,all_icu_adult,2018,40-64,Male,19,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,22,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,24,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,25,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,26,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,27,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,28,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,29,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,30,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,31,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,35,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,36,<10,<10,
UCMC,all_icu_adult,2018,40-64,Male,39,<10,<10,
