site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2018,18-39,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Not Hispanic or Latino,42,11,
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Not Hispanic or Latino,16,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Not Hispanic or Latino,62,10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Not Hispanic or Latino,23,<10,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Not Hispanic or Latino,177,44,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Not Hispanic or Latino,41,11,
UCMC,sepsis_ase_icu,2018,40-64,Male,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Not Hispanic or Latino,170,51,
UCMC,sepsis_ase_icu,2018,40-64,Male,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,Other/Unknown,Unknown,15,10,
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Not Hispanic or Latino,107,35,
UCMC,sepsis_ase_icu,2018,40-64,Male,White,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Not Hispanic or Latino,89,30,
UCMC,sepsis_ase_icu,2018,65-74,Female,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Not Hispanic or Latino,49,11,
UCMC,sepsis_ase_icu,2018,65-74,Female,White,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,Black,Not Hispanic or Latino,87,25,
UCMC,sepsis_ase_icu,2018,65-74,Male,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,65-74,Male,White,Not Hispanic or Latino,89,30,
UCMC,sepsis_ase_icu,2018,65-74,Male,White,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Black,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Black,Not Hispanic or Latino,89,28,
UCMC,sepsis_ase_icu,2018,75+,Female,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Female,White,Not Hispanic or Latino,28,10,
UCMC,sepsis_ase_icu,2018,75+,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,Black,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,Black,Not Hispanic or Latino,59,19,
UCMC,sepsis_ase_icu,2018,75+,Male,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,White,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2018,75+,Male,White,Not Hispanic or Latino,41,14,
UCMC,sepsis_ase_icu,2019,18-39,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,Black,Not Hispanic or Latino,55,14,
UCMC,sepsis_ase_icu,2019,18-39,Female,Black,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,sepsis_ase_icu,2019,18-39,Female,White,Hispanic or Latino,<10,<10,
