site_name,population_id,admit_year,age_band,sex_group,state_fips,hospitalizations,deaths,mortality_pct
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,18-39,Female,55,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,18-39,Male,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,17,24,16,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,17,35,24,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,40-64,Male,48,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,65-74,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2018,65-74,Male,17,18,12,
UCMC,cardiac_arrest_poa_icu,2018,75+,Female,17,19,14,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,17,12,10,
UCMC,cardiac_arrest_poa_icu,2018,75+,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Female,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,18-39,Male,17,12,<10,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,12,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,17,33,26,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,40-64,Male,17,48,23,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Female,17,14,10,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,17,20,13,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,65-74,Male,26,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,17,13,10,
UCMC,cardiac_arrest_poa_icu,2019,75+,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2019,75+,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,13,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Female,17,12,<10,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,17,21,16,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,18-39,Male,47,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,17,30,16,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,17,63,45,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,40-64,Male,55,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,65-74,Female,17,15,13,
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,17,19,13,
UCMC,cardiac_arrest_poa_icu,2020,65-74,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2020,75+,Female,17,17,<10,
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,17,10,<10,
UCMC,cardiac_arrest_poa_icu,2020,75+,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Female,55,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,17,21,15,
UCMC,cardiac_arrest_poa_icu,2021,18-39,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Female,17,50,30,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,17,77,45,
UCMC,cardiac_arrest_poa_icu,2021,40-64,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,65-74,Female,17,20,14,
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,17,30,17,
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,65-74,Male,19,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,75+,Female,17,20,14,
UCMC,cardiac_arrest_poa_icu,2021,75+,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,75+,Male,17,<10,<10,
UCMC,cardiac_arrest_poa_icu,2021,75+,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,17,13,<10,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Male,17,16,13,
UCMC,cardiac_arrest_poa_icu,2022,18-39,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,17,38,25,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Female,28,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Male,17,89,60,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Male,26,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,40-64,Male,36,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,65-74,Female,17,20,14,
UCMC,cardiac_arrest_poa_icu,2022,65-74,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,65-74,Male,17,22,12,
UCMC,cardiac_arrest_poa_icu,2022,65-74,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,65-74,Male,39,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,75+,Female,17,21,16,
UCMC,cardiac_arrest_poa_icu,2022,75+,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,75+,Female,24,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,75+,Female,48,<10,<10,
UCMC,cardiac_arrest_poa_icu,2022,75+,Male,17,19,17,
UCMC,cardiac_arrest_poa_icu,2022,75+,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,18-39,Female,17,14,10,
UCMC,cardiac_arrest_poa_icu,2023,18-39,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,18-39,Male,17,21,13,
UCMC,cardiac_arrest_poa_icu,2023,18-39,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Female,05,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Female,17,46,25,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Female,19,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Male,17,69,42,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Male,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,40-64,Male,55,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,65-74,Female,17,24,17,
UCMC,cardiac_arrest_poa_icu,2023,65-74,Female,18,<10,<10,
UCMC,cardiac_arrest_poa_icu,2023,65-74,Male,17,32,16,
UCMC,cardiac_arrest_poa_icu,2023,65-74,Male,18,<10,<10,
