site_name,population_id,admit_year,state_fips,hospitalizations,deaths,missing_county_hospitalizations,mortality_pct
UCMC,sepsis_ase_icu,2018,04,<10,<10,14,
UCMC,sepsis_ase_icu,2018,06,<10,<10,14,
UCMC,sepsis_ase_icu,2018,11,<10,<10,14,
UCMC,sepsis_ase_icu,2018,17,1125,334,434,
UCMC,sepsis_ase_icu,2018,18,181,62,168,
UCMC,sepsis_ase_icu,2018,19,<10,<10,14,
UCMC,sepsis_ase_icu,2018,20,<10,<10,14,
UCMC,sepsis_ase_icu,2018,22,<10,<10,14,
UCMC,sepsis_ase_icu,2018,25,<10,<10,14,
UCMC,sepsis_ase_icu,2018,26,18,<10,126,
UCMC,sepsis_ase_icu,2018,27,<10,<10,14,
UCMC,sepsis_ase_icu,2018,31,<10,<10,14,
UCMC,sepsis_ase_icu,2018,35,<10,<10,14,
UCMC,sepsis_ase_icu,2018,36,<10,<10,14,
UCMC,sepsis_ase_icu,2018,47,<10,<10,14,
UCMC,sepsis_ase_icu,2018,48,<10,<10,42,
UCMC,sepsis_ase_icu,2018,55,<10,<10,56,
UCMC,sepsis_ase_icu,2019,01,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,06,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,08,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,11,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,12,<10,<10,28,
UCMC,sepsis_ase_icu,2019,17,1333,389,252,
UCMC,sepsis_ase_icu,2019,18,170,59,77,
UCMC,sepsis_ase_icu,2019,19,<10,<10,14,
UCMC,sepsis_ase_icu,2019,24,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,26,<10,<10,28,
UCMC,sepsis_ase_icu,2019,29,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,36,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,39,<10,<10,14,
UCMC,sepsis_ase_icu,2019,42,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,45,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,47,<10,<10,21,
UCMC,sepsis_ase_icu,2019,48,<10,<10,<10,
UCMC,sepsis_ase_icu,2019,55,<10,<10,28,
UCMC,sepsis_ase_icu,2019,56,<10,<10,<10,
UCMC,sepsis_ase_icu,2020,01,<10,<10,16,
UCMC,sepsis_ase_icu,2020,04,<10,<10,16,
UCMC,sepsis_ase_icu,2020,06,<10,<10,32,
UCMC,sepsis_ase_icu,2020,13,<10,<10,16,
UCMC,sepsis_ase_icu,2020,17,1506,511,560,
UCMC,sepsis_ase_icu,2020,18,164,44,224,
UCMC,sepsis_ase_icu,2020,19,<10,<10,16,
UCMC,sepsis_ase_icu,2020,26,<10,<10,64,
UCMC,sepsis_ase_icu,2020,28,<10,<10,16,
UCMC,sepsis_ase_icu,2020,34,<10,<10,32,
UCMC,sepsis_ase_icu,2020,36,<10,<10,16,
UCMC,sepsis_ase_icu,2020,37,<10,<10,16,
UCMC,sepsis_ase_icu,2020,45,<10,<10,16,
UCMC,sepsis_ase_icu,2020,47,<10,<10,16,
UCMC,sepsis_ase_icu,2020,55,<10,<10,96,
UCMC,sepsis_ase_icu,2021,01,<10,<10,14,
UCMC,sepsis_ase_icu,2021,06,<10,<10,14,
UCMC,sepsis_ase_icu,2021,08,<10,<10,28,
UCMC,sepsis_ase_icu,2021,12,<10,<10,42,
UCMC,sepsis_ase_icu,2021,15,<10,<10,14,
UCMC,sepsis_ase_icu,2021,17,1510,514,378,
UCMC,sepsis_ase_icu,2021,18,166,56,140,
UCMC,sepsis_ase_icu,2021,19,<10,<10,28,
UCMC,sepsis_ase_icu,2021,21,<10,<10,14,
UCMC,sepsis_ase_icu,2021,24,<10,<10,28,
UCMC,sepsis_ase_icu,2021,26,<10,<10,56,
UCMC,sepsis_ase_icu,2021,27,<10,<10,70,
UCMC,sepsis_ase_icu,2021,29,<10,<10,14,
UCMC,sepsis_ase_icu,2021,32,<10,<10,14,
UCMC,sepsis_ase_icu,2021,36,<10,<10,28,
UCMC,sepsis_ase_icu,2021,37,<10,<10,14,
UCMC,sepsis_ase_icu,2021,42,<10,<10,14,
UCMC,sepsis_ase_icu,2021,47,<10,<10,14,
UCMC,sepsis_ase_icu,2021,48,<10,<10,28,
UCMC,sepsis_ase_icu,2021,53,<10,<10,14,
UCMC,sepsis_ase_icu,2021,55,<10,<10,28,
UCMC,sepsis_ase_icu,2022,02,<10,<10,40,
UCMC,sepsis_ase_icu,2022,04,<10,<10,20,
UCMC,sepsis_ase_icu,2022,06,<10,<10,80,
UCMC,sepsis_ase_icu,2022,12,<10,<10,120,
UCMC,sepsis_ase_icu,2022,13,<10,<10,20,
UCMC,sepsis_ase_icu,2022,17,1479,513,720,
