admit_year,age_band,sex_group,race_group,ethnicity_group,offset
2018,65-74,Female,Asian,Unknown,
2018,65-74,Female,Black,Hispanic or Latino,
2018,65-74,Female,Black,Not Hispanic or Latino,
2018,65-74,Female,Black,Unknown,
2018,65-74,Female,NHPI,Hispanic or Latino,
2018,65-74,Female,NHPI,Not Hispanic or Latino,
2018,65-74,Female,NHPI,Unknown,
2018,65-74,Female,Other/Unknown,Hispanic or Latino,
2018,65-74,Female,Other/Unknown,Not Hispanic or Latino,
2018,65-74,Female,Other/Unknown,Unknown,
2018,65-74,Female,White,Hispanic or Latino,
2018,65-74,Female,White,Not Hispanic or Latino,
2018,65-74,Female,White,Unknown,
2018,65-74,Male,AIAN,Hispanic or Latino,
2018,65-74,Male,AIAN,Not Hispanic or Latino,
2018,65-74,Male,AIAN,Unknown,
2018,65-74,Male,Asian,Hispanic or Latino,
2018,65-74,Male,Asian,Not Hispanic or Latino,
2018,65-74,Male,Asian,Unknown,
2018,65-74,Male,Black,Hispanic or Latino,
2018,65-74,Male,Black,Not Hispanic or Latino,
2018,65-74,Male,Black,Unknown,
2018,65-74,Male,NHPI,Hispanic or Latino,
2018,65-74,Male,NHPI,Not Hispanic or Latino,
2018,65-74,Male,NHPI,Unknown,
2018,65-74,Male,Other/Unknown,Hispanic or Latino,
2018,65-74,Male,Other/Unknown,Not Hispanic or Latino,
2018,65-74,Male,Other/Unknown,Unknown,
2018,65-74,Male,White,Hispanic or Latino,
2018,65-74,Male,White,Not Hispanic or Latino,
2018,65-74,Male,White,Unknown,
2018,75+,Female,AIAN,Hispanic or Latino,
2018,75+,Female,AIAN,Not Hispanic or Latino,
2018,75+,Female,AIAN,Unknown,
2018,75+,Female,Asian,Hispanic or Latino,
2018,75+,Female,Asian,Not Hispanic or Latino,
2018,75+,Female,Asian,Unknown,
2018,75+,Female,Black,Hispanic or Latino,
2018,75+,Female,Black,Not Hispanic or Latino,
2018,75+,Female,Black,Unknown,
2018,75+,Female,NHPI,Hispanic or Latino,
2018,75+,Female,NHPI,Not Hispanic or Latino,
2018,75+,Female,NHPI,Unknown,
2018,75+,Female,Other/Unknown,Hispanic or Latino,
2018,75+,Female,Other/Unknown,Not Hispanic or Latino,
2018,75+,Female,Other/Unknown,Unknown,
2018,75+,Female,White,Hispanic or Latino,
2018,75+,Female,White,Not Hispanic or Latino,
2018,75+,Female,White,Unknown,
2018,75+,Male,AIAN,Hispanic or Latino,
2018,75+,Male,AIAN,Not Hispanic or Latino,
2018,75+,Male,AIAN,Unknown,
2018,75+,Male,Asian,Hispanic or Latino,
2018,75+,Male,Asian,Not Hispanic or Latino,
2018,75+,Male,Asian,Unknown,
2018,75+,Male,Black,Hispanic or Latino,
2018,75+,Male,Black,Not Hispanic or Latino,
2018,75+,Male,Black,Unknown,
2018,75+,Male,NHPI,Hispanic or Latino,
2018,75+,Male,NHPI,Not Hispanic or Latino,
2018,75+,Male,NHPI,Unknown,
2018,75+,Male,Other/Unknown,Hispanic or Latino,
2018,75+,Male,Other/Unknown,Not Hispanic or Latino,
2018,75+,Male,Other/Unknown,Unknown,
2018,75+,Male,White,Hispanic or Latino,
2018,75+,Male,White,Not Hispanic or Latino,
2018,75+,Male,White,Unknown,
2019,18-39,Female,AIAN,Hispanic or Latino,
2019,18-39,Female,AIAN,Not Hispanic or Latino,
2019,18-39,Female,AIAN,Unknown,
2019,18-39,Female,Asian,Hispanic or Latino,
2019,18-39,Female,Asian,Not Hispanic or Latino,
2019,18-39,Female,Asian,Unknown,
2019,18-39,Female,Black,Hispanic or Latino,
2019,18-39,Female,Black,Not Hispanic or Latino,
2019,18-39,Female,Black,Unknown,
2019,18-39,Female,NHPI,Hispanic or Latino,
2019,18-39,Female,NHPI,Not Hispanic or Latino,
2019,18-39,Female,NHPI,Unknown,
2019,18-39,Female,Other/Unknown,Hispanic or Latino,
2019,18-39,Female,Other/Unknown,Not Hispanic or Latino,
2019,18-39,Female,Other/Unknown,Unknown,
2019,18-39,Female,White,Hispanic or Latino,
2019,18-39,Female,White,Not Hispanic or Latino,
2019,18-39,Female,White,Unknown,
2019,18-39,Male,AIAN,Hispanic or Latino,
2019,18-39,Male,AIAN,Not Hispanic or Latino,
2019,18-39,Male,AIAN,Unknown,
2019,18-39,Male,Asian,Hispanic or Latino,
2019,18-39,Male,Asian,Not Hispanic or Latino,
2019,18-39,Male,Asian,Unknown,
2019,18-39,Male,Black,Hispanic or Latino,
2019,18-39,Male,Black,Not Hispanic or Latino,
2019,18-39,Male,Black,Unknown,
2019,18-39,Male,NHPI,Hispanic or Latino,
2019,18-39,Male,NHPI,Not Hispanic or Latino,
2019,18-39,Male,NHPI,Unknown,
2019,18-39,Male,Other/Unknown,Hispanic or Latino,
2019,18-39,Male,Other/Unknown,Not Hispanic or Latino,
2019,18-39,Male,Other/Unknown,Unknown,
2019,18-39,Male,White,Hispanic or Latino,
2019,18-39,Male,White,Not Hispanic or Latino,
2019,18-39,Male,White,Unknown,
2019,40-64,Female,AIAN,Hispanic or Latino,
2019,40-64,Female,AIAN,Not Hispanic or Latino,
2019,40-64,Female,AIAN,Unknown,
2019,40-64,Female,Asian,Hispanic or Latino,
2019,40-64,Female,Asian,Not Hispanic or Latino,
2019,40-64,Female,Asian,Unknown,
2019,40-64,Female,Black,Hispanic or Latino,
2019,40-64,Female,Black,Not Hispanic or Latino,
2019,40-64,Female,Black,Unknown,
2019,40-64,Female,NHPI,Hispanic or Latino,
2019,40-64,Female,NHPI,Not Hispanic or Latino,
2019,40-64,Female,NHPI,Unknown,
2019,40-64,Female,Other/Unknown,Hispanic or Latino,
2019,40-64,Female,Other/Unknown,Not Hispanic or Latino,
2019,40-64,Female,Other/Unknown,Unknown,
2019,40-64,Female,White,Hispanic or Latino,
2019,40-64,Female,White,Not Hispanic or Latino,
2019,40-64,Female,White,Unknown,
2019,40-64,Male,AIAN,Hispanic or Latino,
2019,40-64,Male,AIAN,Not Hispanic or Latino,
2019,40-64,Male,AIAN,Unknown,
2019,40-64,Male,Asian,Hispanic or Latino,
2019,40-64,Male,Asian,Not Hispanic or Latino,
2019,40-64,Male,Asian,Unknown,
2019,40-64,Male,Black,Hispanic or Latino,
2019,40-64,Male,Black,Not Hispanic or Latino,
2019,40-64,Male,Black,Unknown,
2019,40-64,Male,NHPI,Hispanic or Latino,
2019,40-64,Male,NHPI,Not Hispanic or Latino,
2019,40-64,Male,NHPI,Unknown,
2019,40-64,Male,Other/Unknown,Hispanic or Latino,
2019,40-64,Male,Other/Unknown,Not Hispanic or Latino,
2019,40-64,Male,Other/Unknown,Unknown,
2019,40-64,Male,White,Hispanic or Latino,
2019,40-64,Male,White,Not Hispanic or Latino,
2019,40-64,Male,White,Unknown,
2019,65-74,Female,AIAN,Hispanic or Latino,
2019,65-74,Female,AIAN,Not Hispanic or Latino,
2019,65-74,Female,AIAN,Unknown,
2019,65-74,Female,Asian,Hispanic or Latino,
2019,65-74,Female,Asian,Not Hispanic or Latino,
2019,65-74,Female,Asian,Unknown,
2019,65-74,Female,Black,Hispanic or Latino,
2019,65-74,Female,Black,Not Hispanic or Latino,
2019,65-74,Female,Black,Unknown,
2019,65-74,Female,NHPI,Hispanic or Latino,
2019,65-74,Female,NHPI,Not Hispanic or Latino,
2019,65-74,Female,NHPI,Unknown,
2019,65-74,Female,Other/Unknown,Hispanic or Latino,
2019,65-74,Female,Other/Unknown,Not Hispanic or Latino,
2019,65-74,Female,Other/Unknown,Unknown,
2019,65-74,Female,White,Hispanic or Latino,
2019,65-74,Female,White,Not Hispanic or Latino,
2019,65-74,Female,White,Unknown,
2019,65-74,Male,AIAN,Hispanic or Latino,
2019,65-74,Male,AIAN,Not Hispanic or Latino,
2019,65-74,Male,AIAN,Unknown,
2019,65-74,Male,Asian,Hispanic or Latino,
2019,65-74,Male,Asian,Not Hispanic or Latino,
2019,65-74,Male,Asian,Unknown,
2019,65-74,Male,Black,Hispanic or Latino,
2019,65-74,Male,Black,Not Hispanic or Latino,
2019,65-74,Male,Black,Unknown,
2019,65-74,Male,NHPI,Hispanic or Latino,
2019,65-74,Male,NHPI,Not Hispanic or Latino,
2019,65-74,Male,NHPI,Unknown,
2019,65-74,Male,Other/Unknown,Hispanic or Latino,
2019,65-74,Male,Other/Unknown,Not Hispanic or Latino,
2019,65-74,Male,Other/Unknown,Unknown,
2019,65-74,Male,White,Hispanic or Latino,
2019,65-74,Male,White,Not Hispanic or Latino,
2019,65-74,Male,White,Unknown,
2019,75+,Female,AIAN,Hispanic or Latino,
2019,75+,Female,AIAN,Not Hispanic or Latino,
2019,75+,Female,AIAN,Unknown,
2019,75+,Female,Asian,Hispanic or Latino,
2019,75+,Female,Asian,Not Hispanic or Latino,
2019,75+,Female,Asian,Unknown,
2019,75+,Female,Black,Hispanic or Latino,
2019,75+,Female,Black,Not Hispanic or Latino,
2019,75+,Female,Black,Unknown,
2019,75+,Female,NHPI,Hispanic or Latino,
2019,75+,Female,NHPI,Not Hispanic or Latino,
2019,75+,Female,NHPI,Unknown,
2019,75+,Female,Other/Unknown,Hispanic or Latino,
2019,75+,Female,Other/Unknown,Not Hispanic or Latino,
2019,75+,Female,Other/Unknown,Unknown,
2019,75+,Female,White,Hispanic or Latino,
2019,75+,Female,White,Not Hispanic or Latino,
2019,75+,Female,White,Unknown,
2019,75+,Male,AIAN,Hispanic or Latino,
2019,75+,Male,AIAN,Not Hispanic or Latino,
2019,75+,Male,AIAN,Unknown,
2019,75+,Male,Asian,Hispanic or Latino,
2019,75+,Male,Asian,Not Hispanic or Latino,
2019,75+,Male,Asian,Unknown,
2019,75+,Male,Black,Hispanic or Latino,
2019,75+,Male,Black,Not Hispanic or Latino,
2019,75+,Male,Black,Unknown,
2019,75+,Male,NHPI,Hispanic or Latino,
2019,75+,Male,NHPI,Not Hispanic or Latino,
2019,75+,Male,NHPI,Unknown,
2019,75+,Male,Other/Unknown,Hispanic or Latino,
2019,75+,Male,Other/Unknown,Not Hispanic or Latino,
2019,75+,Male,Other/Unknown,Unknown,
2019,75+,Male,White,Hispanic or Latino,
2019,75+,Male,White,Not Hispanic or Latino,
2019,75+,Male,White,Unknown,
2020,18-39,Female,AIAN,Hispanic or Latino,
2020,18-39,Female,AIAN,Not Hispanic or Latino,
2020,18-39,Female,AIAN,Unknown,
2020,18-39,Female,Asian,Hispanic or Latino,
2020,18-39,Female,Asian,Not Hispanic or Latino,
2020,18-39,Female,Asian,Unknown,
2020,18-39,Female,Black,Hispanic or Latino,
2020,18-39,Female,Black,Not Hispanic or Latino,
2020,18-39,Female,Black,Unknown,
2020,18-39,Female,NHPI,Hispanic or Latino,
2020,18-39,Female,NHPI,Not Hispanic or Latino,
2020,18-39,Female,NHPI,Unknown,
2020,18-39,Female,Other/Unknown,Hispanic or Latino,
2020,18-39,Female,Other/Unknown,Not Hispanic or Latino,
2020,18-39,Female,Other/Unknown,Unknown,
2020,18-39,Female,White,Hispanic or Latino,
2020,18-39,Female,White,Not Hispanic or Latino,
2020,18-39,Female,White,Unknown,
2020,18-39,Male,AIAN,Hispanic or Latino,
2020,18-39,Male,AIAN,Not Hispanic or Latino,
2020,18-39,Male,AIAN,Unknown,
2020,18-39,Male,Asian,Hispanic or Latino,
2020,18-39,Male,Asian,Not Hispanic or Latino,
2020,18-39,Male,Asian,Unknown,
2020,18-39,Male,Black,Hispanic or Latino,
2020,18-39,Male,Black,Not Hispanic or Latino,
2020,18-39,Male,Black,Unknown,
2020,18-39,Male,NHPI,Hispanic or Latino,
2020,18-39,Male,NHPI,Not Hispanic or Latino,
2020,18-39,Male,NHPI,Unknown,
2020,18-39,Male,Other/Unknown,Hispanic or Latino,
2020,18-39,Male,Other/Unknown,Not Hispanic or Latino,
2020,18-39,Male,Other/Unknown,Unknown,
2020,18-39,Male,White,Hispanic or Latino,
2020,18-39,Male,White,Not Hispanic or Latino,
2020,18-39,Male,White,Unknown,
2020,40-64,Female,AIAN,Hispanic or Latino,
2020,40-64,Female,AIAN,Not Hispanic or Latino,
2020,40-64,Female,AIAN,Unknown,
2020,40-64,Female,Asian,Hispanic or Latino,
2020,40-64,Female,Asian,Not Hispanic or Latino,
2020,40-64,Female,Asian,Unknown,
2020,40-64,Female,Black,Hispanic or Latino,
2020,40-64,Female,Black,Not Hispanic or Latino,
2020,40-64,Female,Black,Unknown,
2020,40-64,Female,NHPI,Hispanic or Latino,
2020,40-64,Female,NHPI,Not Hispanic or Latino,
2020,40-64,Female,NHPI,Unknown,
2020,40-64,Female,Other/Unknown,Hispanic or Latino,
2020,40-64,Female,Other/Unknown,Not Hispanic or Latino,
2020,40-64,Female,Other/Unknown,Unknown,
2020,40-64,Female,White,Hispanic or Latino,
2020,40-64,Female,White,Not Hispanic or Latino,
2020,40-64,Female,White,Unknown,
2020,40-64,Male,AIAN,Hispanic or Latino,
2020,40-64,Male,AIAN,Not Hispanic or Latino,
2020,40-64,Male,AIAN,Unknown,
2020,40-64,Male,Asian,Hispanic or Latino,
2020,40-64,Male,Asian,Not Hispanic or Latino,
2020,40-64,Male,Asian,Unknown,
2020,40-64,Male,Black,Hispanic or Latino,
2020,40-64,Male,Black,Not Hispanic or Latino,
2020,40-64,Male,Black,Unknown,
2020,40-64,Male,NHPI,Hispanic or Latino,
2020,40-64,Male,NHPI,Not Hispanic or Latino,
2020,40-64,Male,NHPI,Unknown,
2020,40-64,Male,Other/Unknown,Hispanic or Latino,
2020,40-64,Male,Other/Unknown,Not Hispanic or Latino,
2020,40-64,Male,Other/Unknown,Unknown,
2020,40-64,Male,White,Hispanic or Latino,
2020,40-64,Male,White,Not Hispanic or Latino,
2020,40-64,Male,White,Unknown,
2020,65-74,Female,AIAN,Hispanic or Latino,
2020,65-74,Female,AIAN,Not Hispanic or Latino,
2020,65-74,Female,AIAN,Unknown,
2020,65-74,Female,Asian,Hispanic or Latino,
2020,65-74,Female,Asian,Not Hispanic or Latino,
2020,65-74,Female,Asian,Unknown,
2020,65-74,Female,Black,Hispanic or Latino,
2020,65-74,Female,Black,Not Hispanic or Latino,
2020,65-74,Female,Black,Unknown,
2020,65-74,Female,NHPI,Hispanic or Latino,
2020,65-74,Female,NHPI,Not Hispanic or Latino,
2020,65-74,Female,NHPI,Unknown,
2020,65-74,Female,Other/Unknown,Hispanic or Latino,
2020,65-74,Female,Other/Unknown,Not Hispanic or Latino,
2020,65-74,Female,Other/Unknown,Unknown,
2020,65-74,Female,White,Hispanic or Latino,
2020,65-74,Female,White,Not Hispanic or Latino,
2020,65-74,Female,White,Unknown,
2020,65-74,Male,AIAN,Hispanic or Latino,
2020,65-74,Male,AIAN,Not Hispanic or Latino,
2020,65-74,Male,AIAN,Unknown,
2020,65-74,Male,Asian,Hispanic or Latino,
2020,65-74,Male,Asian,Not Hispanic or Latino,
2020,65-74,Male,Asian,Unknown,
2020,65-74,Male,Black,Hispanic or Latino,
2020,65-74,Male,Black,Not Hispanic or Latino,
2020,65-74,Male,Black,Unknown,
2020,65-74,Male,NHPI,Hispanic or Latino,
2020,65-74,Male,NHPI,Not Hispanic or Latino,
2020,65-74,Male,NHPI,Unknown,
2020,65-74,Male,Other/Unknown,Hispanic or Latino,
2020,65-74,Male,Other/Unknown,Not Hispanic or Latino,
2020,65-74,Male,Other/Unknown,Unknown,
2020,65-74,Male,White,Hispanic or Latino,
2020,65-74,Male,White,Not Hispanic or Latino,
2020,65-74,Male,White,Unknown,
2020,75+,Female,AIAN,Hispanic or Latino,
2020,75+,Female,AIAN,Not Hispanic or Latino,
2020,75+,Female,AIAN,Unknown,
2020,75+,Female,Asian,Hispanic or Latino,
2020,75+,Female,Asian,Not Hispanic or Latino,
2020,75+,Female,Asian,Unknown,
2020,75+,Female,Black,Hispanic or Latino,
2020,75+,Female,Black,Not Hispanic or Latino,
2020,75+,Female,Black,Unknown,
2020,75+,Female,NHPI,Hispanic or Latino,
2020,75+,Female,NHPI,Not Hispanic or Latino,
2020,75+,Female,NHPI,Unknown,
2020,75+,Female,Other/Unknown,Hispanic or Latino,
2020,75+,Female,Other/Unknown,Not Hispanic or Latino,
2020,75+,Female,Other/Unknown,Unknown,
2020,75+,Female,White,Hispanic or Latino,
2020,75+,Female,White,Not Hispanic or Latino,
2020,75+,Female,White,Unknown,
2020,75+,Male,AIAN,Hispanic or Latino,
2020,75+,Male,AIAN,Not Hispanic or Latino,
2020,75+,Male,AIAN,Unknown,
2020,75+,Male,Asian,Hispanic or Latino,
2020,75+,Male,Asian,Not Hispanic or Latino,
2020,75+,Male,Asian,Unknown,
2020,75+,Male,Black,Hispanic or Latino,
2020,75+,Male,Black,Not Hispanic or Latino,
2020,75+,Male,Black,Unknown,
2020,75+,Male,NHPI,Hispanic or Latino,
2020,75+,Male,NHPI,Not Hispanic or Latino,
2020,75+,Male,NHPI,Unknown,
2020,75+,Male,Other/Unknown,Hispanic or Latino,
2020,75+,Male,Other/Unknown,Not Hispanic or Latino,
2020,75+,Male,Other/Unknown,Unknown,
2020,75+,Male,White,Hispanic or Latino,
2020,75+,Male,White,Not Hispanic or Latino,
2020,75+,Male,White,Unknown,
2021,18-39,Female,AIAN,Hispanic or Latino,
2021,18-39,Female,AIAN,Not Hispanic or Latino,
2021,18-39,Female,AIAN,Unknown,
2021,18-39,Female,Asian,Hispanic or Latino,
2021,18-39,Female,Asian,Not Hispanic or Latino,
2021,18-39,Female,Asian,Unknown,
2021,18-39,Female,Black,Hispanic or Latino,
2021,18-39,Female,Black,Not Hispanic or Latino,
2021,18-39,Female,Black,Unknown,
2021,18-39,Female,NHPI,Hispanic or Latino,
2021,18-39,Female,NHPI,Not Hispanic or Latino,
2021,18-39,Female,NHPI,Unknown,
2021,18-39,Female,Other/Unknown,Hispanic or Latino,
2021,18-39,Female,Other/Unknown,Not Hispanic or Latino,
2021,18-39,Female,Other/Unknown,Unknown,
2021,18-39,Female,White,Hispanic or Latino,
2021,18-39,Female,White,Not Hispanic or Latino,
2021,18-39,Female,White,Unknown,
2021,18-39,Male,AIAN,Hispanic or Latino,
2021,18-39,Male,AIAN,Not Hispanic or Latino,
2021,18-39,Male,AIAN,Unknown,
2021,18-39,Male,Asian,Hispanic or Latino,
2021,18-39,Male,Asian,Not Hispanic or Latino,
2021,18-39,Male,Asian,Unknown,
2021,18-39,Male,Black,Hispanic or Latino,
2021,18-39,Male,Black,Not Hispanic or Latino,
2021,18-39,Male,Black,Unknown,
2021,18-39,Male,NHPI,Hispanic or Latino,
2021,18-39,Male,NHPI,Not Hispanic or Latino,
2021,18-39,Male,NHPI,Unknown,
2021,18-39,Male,Other/Unknown,Hispanic or Latino,
2021,18-39,Male,Other/Unknown,Not Hispanic or Latino,
2021,18-39,Male,Other/Unknown,Unknown,
2021,18-39,Male,White,Hispanic or Latino,
2021,18-39,Male,White,Not Hispanic or Latino,
2021,18-39,Male,White,Unknown,
2021,40-64,Female,AIAN,Hispanic or Latino,
2021,40-64,Female,AIAN,Not Hispanic or Latino,
2021,40-64,Female,AIAN,Unknown,
2021,40-64,Female,Asian,Hispanic or Latino,
2021,40-64,Female,Asian,Not Hispanic or Latino,
2021,40-64,Female,Asian,Unknown,
2021,40-64,Female,Black,Hispanic or Latino,
2021,40-64,Female,Black,Not Hispanic or Latino,
2021,40-64,Female,Black,Unknown,
2021,40-64,Female,NHPI,Hispanic or Latino,
2021,40-64,Female,NHPI,Not Hispanic or Latino,
2021,40-64,Female,NHPI,Unknown,
2021,40-64,Female,Other/Unknown,Hispanic or Latino,
2021,40-64,Female,Other/Unknown,Not Hispanic or Latino,
2021,40-64,Female,Other/Unknown,Unknown,
2021,40-64,Female,White,Hispanic or Latino,
2021,40-64,Female,White,Not Hispanic or Latino,
2021,40-64,Female,White,Unknown,
2021,40-64,Male,AIAN,Hispanic or Latino,
2021,40-64,Male,AIAN,Not Hispanic or Latino,
2021,40-64,Male,AIAN,Unknown,
2021,40-64,Male,Asian,Hispanic or Latino,
2021,40-64,Male,Asian,Not Hispanic or Latino,
2021,40-64,Male,Asian,Unknown,
2021,40-64,Male,Black,Hispanic or Latino,
2021,40-64,Male,Black,Not Hispanic or Latino,
2021,40-64,Male,Black,Unknown,
2021,40-64,Male,NHPI,Hispanic or Latino,
2021,40-64,Male,NHPI,Not Hispanic or Latino,
2021,40-64,Male,NHPI,Unknown,
2021,40-64,Male,Other/Unknown,Hispanic or Latino,
2021,40-64,Male,Other/Unknown,Not Hispanic or Latino,
2021,40-64,Male,Other/Unknown,Unknown,
2021,40-64,Male,White,Hispanic or Latino,
2021,40-64,Male,White,Not Hispanic or Latino,
2021,40-64,Male,White,Unknown,
2021,65-74,Female,AIAN,Hispanic or Latino,
2021,65-74,Female,AIAN,Not Hispanic or Latino,
2021,65-74,Female,AIAN,Unknown,
2021,65-74,Female,Asian,Hispanic or Latino,
2021,65-74,Female,Asian,Not Hispanic or Latino,
2021,65-74,Female,Asian,Unknown,
2021,65-74,Female,Black,Hispanic or Latino,
2021,65-74,Female,Black,Not Hispanic or Latino,
2021,65-74,Female,Black,Unknown,
2021,65-74,Female,NHPI,Hispanic or Latino,
2021,65-74,Female,NHPI,Not Hispanic or Latino,
2021,65-74,Female,NHPI,Unknown,
2021,65-74,Female,Other/Unknown,Hispanic or Latino,
2021,65-74,Female,Other/Unknown,Not Hispanic or Latino,
2021,65-74,Female,Other/Unknown,Unknown,
2021,65-74,Female,White,Hispanic or Latino,
2021,65-74,Female,White,Not Hispanic or Latino,
2021,65-74,Female,White,Unknown,
2021,65-74,Male,AIAN,Hispanic or Latino,
2021,65-74,Male,AIAN,Not Hispanic or Latino,
2021,65-74,Male,AIAN,Unknown,
2021,65-74,Male,Asian,Hispanic or Latino,
2021,65-74,Male,Asian,Not Hispanic or Latino,
2021,65-74,Male,Asian,Unknown,
2021,65-74,Male,Black,Hispanic or Latino,
2021,65-74,Male,Black,Not Hispanic or Latino,
2021,65-74,Male,Black,Unknown,
2021,65-74,Male,NHPI,Hispanic or Latino,
2021,65-74,Male,NHPI,Not Hispanic or Latino,
2021,65-74,Male,NHPI,Unknown,
2021,65-74,Male,Other/Unknown,Hispanic or Latino,
2021,65-74,Male,Other/Unknown,Not Hispanic or Latino,
2021,65-74,Male,Other/Unknown,Unknown,
2021,65-74,Male,White,Hispanic or Latino,
2021,65-74,Male,White,Not Hispanic or Latino,
2021,65-74,Male,White,Unknown,
2021,75+,Female,AIAN,Hispanic or Latino,
2021,75+,Female,AIAN,Not Hispanic or Latino,
2021,75+,Female,AIAN,Unknown,
2021,75+,Female,Asian,Hispanic or Latino,
2021,75+,Female,Asian,Not Hispanic or Latino,
2021,75+,Female,Asian,Unknown,
2021,75+,Female,Black,Hispanic or Latino,
2021,75+,Female,Black,Not Hispanic or Latino,
2021,75+,Female,Black,Unknown,
2021,75+,Female,NHPI,Hispanic or Latino,
2021,75+,Female,NHPI,Not Hispanic or Latino,
2021,75+,Female,NHPI,Unknown,
2021,75+,Female,Other/Unknown,Hispanic or Latino,
2021,75+,Female,Other/Unknown,Not Hispanic or Latino,
2021,75+,Female,Other/Unknown,Unknown,
2021,75+,Female,White,Hispanic or Latino,
2021,75+,Female,White,Not Hispanic or Latino,
2021,75+,Female,White,Unknown,
2021,75+,Male,AIAN,Hispanic or Latino,
2021,75+,Male,AIAN,Not Hispanic or Latino,
2021,75+,Male,AIAN,Unknown,
2021,75+,Male,Asian,Hispanic or Latino,
2021,75+,Male,Asian,Not Hispanic or Latino,
2021,75+,Male,Asian,Unknown,
2021,75+,Male,Black,Hispanic or Latino,
2021,75+,Male,Black,Not Hispanic or Latino,
2021,75+,Male,Black,Unknown,
2021,75+,Male,NHPI,Hispanic or Latino,
2021,75+,Male,NHPI,Not Hispanic or Latino,
2021,75+,Male,NHPI,Unknown,
2021,75+,Male,Other/Unknown,Hispanic or Latino,
2021,75+,Male,Other/Unknown,Not Hispanic or Latino,
2021,75+,Male,Other/Unknown,Unknown,
2021,75+,Male,White,Hispanic or Latino,
