site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2018,18-39,Female,Asian,Not Hispanic or Latino,13,11,
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Not Hispanic or Latino,115,84,
UCMC,sepsis_ase_icu,2018,18-39,Female,Black,Unknown,22,21,
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Hispanic or Latino,75,73,
UCMC,sepsis_ase_icu,2018,18-39,Female,Other/Unknown,Unknown,70,68,
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Hispanic or Latino,23,18,
UCMC,sepsis_ase_icu,2018,18-39,Female,White,Not Hispanic or Latino,71,59,
UCMC,sepsis_ase_icu,2018,18-39,Male,Asian,Not Hispanic or Latino,76,73,
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Not Hispanic or Latino,126,74,
UCMC,sepsis_ase_icu,2018,18-39,Male,Black,Unknown,22,21,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Hispanic or Latino,78,71,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,91,90,
UCMC,sepsis_ase_icu,2018,18-39,Male,Other/Unknown,Unknown,19,18,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Hispanic or Latino,84,81,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Not Hispanic or Latino,119,100,
UCMC,sepsis_ase_icu,2018,18-39,Male,White,Unknown,86,86,
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Hispanic or Latino,20,19,
UCMC,sepsis_ase_icu,2018,40-64,Female,Asian,Not Hispanic or Latino,54,52,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Hispanic or Latino,88,88,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Not Hispanic or Latino,233,100,
UCMC,sepsis_ase_icu,2018,40-64,Female,Black,Unknown,20,20,
UCMC,sepsis_ase_icu,2018,40-64,Female,NHPI,Hispanic or Latino,71,70,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Hispanic or Latino,48,44,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,20,16,
UCMC,sepsis_ase_icu,2018,40-64,Female,Other/Unknown,Unknown,85,82,
UCMC,sepsis_ase_icu,2018,40-64,Female,White,Hispanic or Latino,78,75,
