site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,01059,2019,40-64,Female,48,47,
UCMC,sepsis_ase_icu,01081,2021,18-39,Male,60,59,
UCMC,sepsis_ase_icu,01089,2020,18-39,Female,100,99,
UCMC,sepsis_ase_icu,02020,2022,40-64,Male,93,92,
UCMC,sepsis_ase_icu,02170,2022,65-74,Female,47,47,
UCMC,sepsis_ase_icu,02170,2024,40-64,Male,83,82,
UCMC,sepsis_ase_icu,04013,2018,40-64,Female,23,22,
UCMC,sepsis_ase_icu,04013,2018,40-64,Male,62,61,
UCMC,sepsis_ase_icu,04013,2020,40-64,Female,89,88,
UCMC,sepsis_ase_icu,04013,2022,18-39,Female,30,29,
UCMC,sepsis_ase_icu,04013,2023,75+,Female,37,36,
UCMC,sepsis_ase_icu,04013,2024,40-64,Female,84,83,
UCMC,sepsis_ase_icu,04013,2024,40-64,Male,95,93,
UCMC,sepsis_ase_icu,05041,2023,40-64,Female,42,42,
UCMC,sepsis_ase_icu,05119,2024,40-64,Female,25,24,
UCMC,sepsis_ase_icu,06019,2022,65-74,Male,43,43,
UCMC,sepsis_ase_icu,06037,2018,40-64,Male,68,67,
UCMC,sepsis_ase_icu,06037,2020,40-64,Male,85,84,
UCMC,sepsis_ase_icu,06037,2021,65-74,Male,61,60,
UCMC,sepsis_ase_icu,06037,2022,40-64,Male,56,55,
UCMC,sepsis_ase_icu,06037,2023,18-39,Male,87,86,
UCMC,sepsis_ase_icu,06037,2024,65-74,Female,70,69,
UCMC,sepsis_ase_icu,06059,2022,40-64,Female,98,97,
UCMC,sepsis_ase_icu,06065,2022,75+,Male,62,62,
UCMC,sepsis_ase_icu,06067,2024,40-64,Male,30,29,
UCMC,sepsis_ase_icu,06075,2019,75+,Male,52,51,
UCMC,sepsis_ase_icu,06081,2020,18-39,Female,74,73,
UCMC,sepsis_ase_icu,08031,2019,40-64,Female,90,89,
UCMC,sepsis_ase_icu,08031,2021,18-39,Male,68,68,
UCMC,sepsis_ase_icu,08059,2023,65-74,Male,72,72,
UCMC,sepsis_ase_icu,08069,2021,65-74,Female,19,19,
UCMC,sepsis_ase_icu,11001,2018,18-39,Male,13,12,
UCMC,sepsis_ase_icu,11001,2018,40-64,Female,93,92,
UCMC,sepsis_ase_icu,11001,2019,40-64,Male,47,46,
UCMC,sepsis_ase_icu,12009,2021,40-64,Male,62,62,
UCMC,sepsis_ase_icu,12021,2022,75+,Male,20,19,
UCMC,sepsis_ase_icu,12031,2021,40-64,Male,73,73,
UCMC,sepsis_ase_icu,12035,2019,40-64,Female,101,101,
UCMC,sepsis_ase_icu,12057,2019,18-39,Female,56,55,
UCMC,sepsis_ase_icu,12057,2023,65-74,Male,83,83,
UCMC,sepsis_ase_icu,12073,2022,65-74,Female,68,67,
