site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,01003,2019,18-39,Male,91,89,
UCMC,all_icu_adult,01003,2021,40-64,Male,27,26,
UCMC,all_icu_adult,01059,2019,40-64,Female,48,47,
UCMC,all_icu_adult,01059,2020,40-64,Female,12,11,
UCMC,all_icu_adult,01073,2019,40-64,Male,64,63,
UCMC,all_icu_adult,01073,2023,40-64,Male,64,63,
UCMC,all_icu_adult,01073,2023,75+,Male,99,98,
UCMC,all_icu_adult,01077,2018,75+,Male,14,13,
UCMC,all_icu_adult,01081,2021,18-39,Male,60,59,
UCMC,all_icu_adult,01083,2023,75+,Male,57,56,
UCMC,all_icu_adult,01089,2020,18-39,Female,100,99,
UCMC,all_icu_adult,01089,2021,18-39,Female,53,52,
UCMC,all_icu_adult,01089,2022,18-39,Female,43,41,
UCMC,all_icu_adult,01097,2019,18-39,Male,75,74,
UCMC,all_icu_adult,01097,2020,65-74,Female,17,16,
UCMC,all_icu_adult,01117,2022,40-64,Male,53,52,
UCMC,all_icu_adult,01123,2024,40-64,Male,25,24,
UCMC,all_icu_adult,02020,2019,65-74,Male,22,21,
UCMC,all_icu_adult,02020,2021,40-64,Male,77,76,
UCMC,all_icu_adult,02020,2022,40-64,Male,93,92,
UCMC,all_icu_adult,02020,2024,18-39,Female,99,98,
UCMC,all_icu_adult,02122,2024,65-74,Male,67,66,
UCMC,all_icu_adult,02170,2022,65-74,Female,47,47,
UCMC,all_icu_adult,02170,2023,40-64,Male,55,54,
UCMC,all_icu_adult,02170,2024,40-64,Male,84,82,
UCMC,all_icu_adult,04003,2023,65-74,Female,80,79,
UCMC,all_icu_adult,04013,2018,18-39,Female,50,49,
UCMC,all_icu_adult,04013,2018,40-64,Female,23,22,
UCMC,all_icu_adult,04013,2018,40-64,Male,62,61,
UCMC,all_icu_adult,04013,2018,65-74,Female,18,17,
UCMC,all_icu_adult,04013,2019,40-64,Female,79,78,
UCMC,all_icu_adult,04013,2020,18-39,Male,90,88,
UCMC,all_icu_adult,04013,2020,40-64,Female,89,88,
UCMC,all_icu_adult,04013,2020,40-64,Male,64,63,
UCMC,all_icu_adult,04013,2020,65-74,Female,41,40,
UCMC,all_icu_adult,04013,2020,75+,Male,58,57,
UCMC,all_icu_adult,04013,2021,40-64,Male,61,60,
UCMC,all_icu_adult,04013,2022,18-39,Female,31,29,
UCMC,all_icu_adult,04013,2022,40-64,Male,87,86,
UCMC,all_icu_adult,04013,2022,65-74,Male,37,36,
UCMC,all_icu_adult,04013,2022,75+,Male,15,14,
UCMC,all_icu_adult,04013,2023,40-64,Female,54,52,
UCMC,all_icu_adult,04013,2023,65-74,Female,49,48,
UCMC,all_icu_adult,04013,2023,65-74,Male,21,20,
UCMC,all_icu_adult,04013,2023,75+,Female,38,36,
UCMC,all_icu_adult,04013,2024,40-64,Female,84,83,
UCMC,all_icu_adult,04013,2024,40-64,Male,95,93,
UCMC,all_icu_adult,04015,2021,75+,Male,61,60,
